,AHRS3.lat,AHRS3.lng
480,42.54617,-83.319487
481,42.54617,-83.319487
482,42.54617,-83.319487
483,42.54617,-83.319487
484,42.54617,-83.319487
485,42.54617,-83.319487
486,42.54617,-83.319487
487,42.54617,-83.319487
488,42.54617,-83.319487
489,42.54617,-83.319487
490,42.54617,-83.319487
491,42.54617,-83.319487
492,42.54617,-83.319487
493,42.54617,-83.319487
494,42.54617,-83.319487
495,42.54617,-83.319487
496,42.54617,-83.319487
497,42.54617,-83.319487
498,42.54618,-83.319486
499,42.54618,-83.319486
500,42.54618,-83.319486
501,42.54618,-83.319486
502,42.54618,-83.319486
503,42.54618,-83.319486
504,42.54618,-83.319486
505,42.54618,-83.319486
506,42.54618,-83.319486
507,42.54618,-83.319486
508,42.54618,-83.319486
509,42.54618,-83.319486
510,42.54618,-83.319486
511,42.54618,-83.319486
512,42.54618,-83.319486
513,42.54618,-83.319486
514,42.54618,-83.319486
515,42.54618,-83.319486
516,42.54618,-83.319486
517,42.54618,-83.319486
518,42.54618,-83.319486
519,42.54618,-83.319486
520,42.54618,-83.319486
521,42.54618,-83.319486
522,42.54618,-83.319486
523,42.54618,-83.319486
524,42.54618,-83.319486
525,42.54618,-83.319486
526,42.54618,-83.319486
527,42.54618,-83.319486
528,42.54618,-83.319486
529,42.54618,-83.319486
530,42.54618,-83.319486
531,42.54618,-83.319486
532,42.54618,-83.319486
533,42.54618,-83.319486
534,42.54618,-83.319486
535,42.54618,-83.319486
536,42.54618,-83.319486
537,42.54618,-83.319486
538,42.54618,-83.319486
539,42.54618,-83.319486
540,42.54618,-83.319486
541,42.54618,-83.319486
542,42.54618,-83.319486
543,42.54618,-83.319486
544,42.54618,-83.319486
545,42.54618,-83.319486
546,42.54618,-83.319486
547,42.54618,-83.319486
548,42.54618,-83.319486
549,42.54618,-83.319486
550,42.54618,-83.319486
551,42.54618,-83.319486
552,42.54618,-83.319486
553,42.54618,-83.319486
554,42.54618,-83.319486
555,42.54616,-83.31948
556,42.54616,-83.31948
557,42.54616,-83.31948
558,42.54616,-83.31948
559,42.54616,-83.31948
560,42.54616,-83.31948
561,42.54616,-83.31948
562,42.54616,-83.31948
563,42.54616,-83.31948
564,42.54616,-83.31948
565,42.54616,-83.31948
566,42.54616,-83.31948
567,42.54616,-83.31948
568,42.54616,-83.31948
569,42.54616,-83.31948
570,42.54616,-83.31948
571,42.54615,-83.319477
572,42.54615,-83.319477
573,42.54615,-83.319477
574,42.54615,-83.319477
575,42.54615,-83.319477
576,42.54615,-83.319477
577,42.54615,-83.319477
578,42.54615,-83.319477
579,42.54615,-83.319477
580,42.54615,-83.319477
581,42.54615,-83.319477
582,42.54615,-83.319477
583,42.54615,-83.319477
584,42.54615,-83.319477
585,42.54615,-83.319477
586,42.54615,-83.319477
587,42.54615,-83.319477
588,42.54615,-83.319477
589,42.54615,-83.319477
590,42.54615,-83.319477
591,42.54615,-83.319477
592,42.54615,-83.319477
593,42.54615,-83.319477
594,42.54615,-83.319477
595,42.54615,-83.319477
596,42.54615,-83.319477
597,42.54615,-83.319477
598,42.54615,-83.319477
599,42.54615,-83.319477
600,42.54615,-83.319477
601,42.54615,-83.319477
602,42.54615,-83.319477
603,42.54613,-83.319475
604,42.54613,-83.319475
605,42.54613,-83.319475
606,42.54613,-83.319475
607,42.54613,-83.319475
608,42.54613,-83.319475
609,42.54613,-83.319475
610,42.54613,-83.319475
611,42.54613,-83.319475
612,42.54613,-83.319475
613,42.54613,-83.319475
614,42.54613,-83.319475
615,42.54613,-83.319475
616,42.54613,-83.319475
617,42.54613,-83.319475
618,42.54613,-83.319475
619,42.54613,-83.319475
620,42.54613,-83.319475
621,42.54613,-83.319475
622,42.54613,-83.319475
623,42.54613,-83.319475
624,42.54613,-83.319475
625,42.54613,-83.319475
626,42.54613,-83.319475
627,42.54613,-83.319475
628,42.54613,-83.319475
629,42.54613,-83.319475
630,42.54613,-83.319475
631,42.54613,-83.319475
632,42.54613,-83.319475
633,42.54613,-83.319475
634,42.54613,-83.319475
635,42.54613,-83.319475
636,42.54613,-83.319475
637,42.54613,-83.319475
638,42.54613,-83.319475
639,42.54613,-83.319475
640,42.54613,-83.319475
641,42.54613,-83.319475
642,42.54613,-83.319475
643,42.54613,-83.319475
644,42.54613,-83.319475
645,42.54613,-83.319475
646,42.54613,-83.319475
647,42.54611,-83.319472
648,42.54611,-83.319472
649,42.54611,-83.319472
650,42.54611,-83.319472
651,42.54611,-83.319472
652,42.54611,-83.319472
653,42.54611,-83.319472
654,42.54611,-83.319472
655,42.54611,-83.319472
656,42.54611,-83.319472
657,42.54611,-83.319472
658,42.54611,-83.319472
659,42.54611,-83.319472
660,42.54611,-83.319472
661,42.54611,-83.319472
662,42.54611,-83.319472
663,42.54611,-83.319472
664,42.54611,-83.319472
665,42.54611,-83.319472
666,42.54611,-83.319472
667,42.54611,-83.319472
668,42.54611,-83.319472
669,42.54611,-83.319472
670,42.54611,-83.319472
671,42.54611,-83.319472
672,42.54611,-83.319472
673,42.54611,-83.319472
674,42.54611,-83.319472
675,42.54611,-83.319472
676,42.54611,-83.319472
677,42.54611,-83.319472
678,42.54611,-83.319472
679,42.54611,-83.319472
680,42.54611,-83.319472
681,42.54611,-83.319472
682,42.54611,-83.319472
683,42.54611,-83.319472
684,42.54611,-83.319472
685,42.54611,-83.319472
686,42.54611,-83.319472
687,42.54611,-83.319472
688,42.54611,-83.319472
689,42.54611,-83.319472
690,42.54611,-83.319472
691,42.54611,-83.319472
692,42.54611,-83.319472
693,42.54611,-83.319472
694,42.54611,-83.319472
695,42.54611,-83.319472
696,42.54611,-83.319472
697,42.54611,-83.319472
698,42.54611,-83.319472
699,42.54611,-83.319472
700,42.54611,-83.319472
701,42.54611,-83.319472
702,42.54611,-83.319472
703,42.54611,-83.319472
704,42.54611,-83.319472
705,42.54611,-83.319472
706,42.54611,-83.319472
707,42.54611,-83.319472
708,42.54607,-83.319467
709,42.54607,-83.319467
710,42.54607,-83.319467
711,42.54607,-83.319467
712,42.54607,-83.319467
713,42.54607,-83.319467
714,42.54607,-83.319467
715,42.54607,-83.319467
716,42.54607,-83.319467
717,42.54607,-83.319467
718,42.54607,-83.319467
719,42.54607,-83.319467
720,42.54607,-83.319467
721,42.54607,-83.319467
722,42.54607,-83.319467
723,42.54607,-83.319467
724,42.54607,-83.319467
725,42.54607,-83.319467
726,42.54607,-83.319467
727,42.54607,-83.319467
728,42.54607,-83.319467
729,42.54606,-83.319466
730,42.54606,-83.319466
731,42.54606,-83.319466
732,42.54606,-83.319466
733,42.54606,-83.319466
734,42.54606,-83.319466
735,42.54606,-83.319466
736,42.54606,-83.319466
737,42.54606,-83.319466
738,42.54606,-83.319466
739,42.54606,-83.319466
740,42.54606,-83.319466
741,42.54606,-83.319466
742,42.54606,-83.319466
743,42.54606,-83.319466
744,42.54606,-83.319466
745,42.54606,-83.319466
746,42.54606,-83.319466
747,42.54606,-83.319466
748,42.54606,-83.319466
749,42.54606,-83.319466
750,42.54606,-83.319466
751,42.54606,-83.319466
752,42.54606,-83.319466
753,42.54606,-83.319466
754,42.54606,-83.319466
755,42.54606,-83.319466
756,42.54606,-83.319466
757,42.54606,-83.319466
758,42.54606,-83.319466
759,42.54606,-83.319466
760,42.54606,-83.319466
761,42.54606,-83.319466
762,42.54606,-83.319466
763,42.54606,-83.319466
764,42.54606,-83.319466
765,42.54606,-83.319466
766,42.54606,-83.319466
767,42.54606,-83.319466
768,42.54606,-83.319466
769,42.54606,-83.319466
770,42.54606,-83.319466
771,42.54606,-83.319466
772,42.54606,-83.319466
773,42.54606,-83.319466
774,42.54606,-83.319466
775,42.54606,-83.319466
776,42.54606,-83.319466
777,42.54606,-83.319466
778,42.54606,-83.319466
779,42.54606,-83.319466
780,42.546,-83.319461
781,42.546,-83.319461
782,42.546,-83.319461
783,42.546,-83.319461
784,42.546,-83.319461
785,42.546,-83.319461
786,42.546,-83.319461
787,42.546,-83.319461
788,42.546,-83.319461
789,42.546,-83.319461
790,42.546,-83.319461
791,42.546,-83.319461
792,42.546,-83.319461
793,42.546,-83.319461
794,42.54598,-83.319459
795,42.54598,-83.319459
796,42.54598,-83.319459
797,42.54598,-83.319459
798,42.54598,-83.319459
799,42.54598,-83.319459
800,42.54598,-83.319459
801,42.54598,-83.319459
802,42.54598,-83.319459
803,42.54598,-83.319459
804,42.54598,-83.319459
805,42.54598,-83.319459
806,42.54598,-83.319459
807,42.54598,-83.319459
808,42.54598,-83.319459
809,42.54598,-83.319459
810,42.54598,-83.319459
811,42.54598,-83.319459
812,42.54598,-83.319459
813,42.54598,-83.319459
814,42.54598,-83.319459
815,42.54598,-83.319459
816,42.54598,-83.319459
817,42.54598,-83.319459
818,42.54598,-83.319459
819,42.54598,-83.319459
820,42.54598,-83.319459
821,42.54596,-83.319456
822,42.54596,-83.319456
823,42.54596,-83.319456
824,42.54596,-83.319456
825,42.54596,-83.319456
826,42.54596,-83.319456
827,42.54596,-83.319456
828,42.54596,-83.319456
829,42.54596,-83.319456
830,42.54596,-83.319456
831,42.54596,-83.319456
832,42.54596,-83.319456
833,42.54596,-83.319456
834,42.54596,-83.319456
835,42.54596,-83.319456
836,42.54596,-83.319456
837,42.54596,-83.319456
838,42.54596,-83.319456
839,42.54596,-83.319456
840,42.54596,-83.319456
841,42.54596,-83.319456
842,42.54596,-83.319456
843,42.54596,-83.319456
844,42.54596,-83.319456
845,42.54596,-83.319456
846,42.54596,-83.319456
847,42.54596,-83.319456
848,42.54596,-83.319456
849,42.54596,-83.319456
850,42.54596,-83.319456
851,42.54596,-83.319456
852,42.54596,-83.319456
853,42.54596,-83.319456
854,42.54596,-83.319456
855,42.54596,-83.319456
856,42.54596,-83.319456
857,42.54596,-83.319456
858,42.54596,-83.319456
859,42.54596,-83.319456
860,42.54596,-83.319456
861,42.54596,-83.319456
862,42.54596,-83.319456
863,42.54596,-83.319456
864,42.54596,-83.319456
865,42.54596,-83.319456
866,42.54596,-83.319456
867,42.54596,-83.319456
868,42.54596,-83.319456
869,42.54596,-83.319456
870,42.54596,-83.319456
871,42.54596,-83.319456
872,42.54596,-83.319456
873,42.54596,-83.319456
874,42.54596,-83.319456
875,42.54596,-83.319456
876,42.54596,-83.319456
877,42.5459,-83.319451
878,42.5459,-83.319451
879,42.5459,-83.319451
880,42.5459,-83.319451
881,42.5459,-83.319451
882,42.5459,-83.319451
883,42.5459,-83.319451
884,42.5459,-83.319451
885,42.5459,-83.319451
886,42.5459,-83.319451
887,42.5459,-83.319451
888,42.5459,-83.319451
889,42.5459,-83.319451
890,42.5459,-83.319451
891,42.5459,-83.319451
892,42.5459,-83.319451
893,42.5459,-83.319451
894,42.5459,-83.319451
895,42.54588,-83.319449
896,42.54588,-83.319449
897,42.54588,-83.319449
898,42.54588,-83.319449
899,42.54588,-83.319449
900,42.54588,-83.319449
901,42.54588,-83.319449
902,42.54588,-83.319449
903,42.54588,-83.319449
904,42.54588,-83.319449
905,42.54588,-83.319449
906,42.54588,-83.319449
907,42.54588,-83.319449
908,42.54588,-83.319449
909,42.54588,-83.319449
910,42.54588,-83.319449
911,42.54588,-83.319449
912,42.54588,-83.319449
913,42.54588,-83.319449
914,42.54588,-83.319449
915,42.54588,-83.319449
916,42.54588,-83.319449
917,42.54588,-83.319449
918,42.54588,-83.319449
919,42.54588,-83.319449
920,42.54588,-83.319449
921,42.54588,-83.319449
922,42.54588,-83.319449
923,42.54588,-83.319449
924,42.54588,-83.319449
925,42.54588,-83.319449
926,42.54588,-83.319449
927,42.54588,-83.319449
928,42.54588,-83.319449
929,42.54588,-83.319449
930,42.54588,-83.319449
931,42.54588,-83.319449
932,42.54588,-83.319449
933,42.54588,-83.319449
934,42.54588,-83.319449
935,42.54588,-83.319449
936,42.54588,-83.319449
937,42.54588,-83.319449
938,42.54588,-83.319449
939,42.54588,-83.319449
940,42.54588,-83.319449
941,42.54588,-83.319449
942,42.54588,-83.319449
943,42.54588,-83.319449
944,42.54588,-83.319449
945,42.54588,-83.319449
946,42.54582,-83.319443
947,42.54582,-83.319443
948,42.54582,-83.319443
949,42.54582,-83.319443
950,42.54582,-83.319443
951,42.54582,-83.319443
952,42.54582,-83.319443
953,42.54582,-83.319443
954,42.54582,-83.319443
955,42.54582,-83.319443
956,42.54582,-83.319443
957,42.54582,-83.319443
958,42.54582,-83.319443
959,42.54582,-83.319443
960,42.54582,-83.319443
961,42.54582,-83.319443
962,42.54582,-83.319443
963,42.54582,-83.319443
964,42.54582,-83.319443
965,42.54582,-83.319443
966,42.54582,-83.319443
967,42.54582,-83.319443
968,42.54582,-83.319443
969,42.54582,-83.319443
970,42.54582,-83.319443
971,42.54582,-83.319443
972,42.54582,-83.319443
973,42.54582,-83.319443
974,42.5458,-83.319441
975,42.5458,-83.319441
976,42.5458,-83.319441
977,42.5458,-83.319441
978,42.5458,-83.319441
979,42.5458,-83.319441
980,42.5458,-83.319441
981,42.5458,-83.319441
982,42.5458,-83.319441
983,42.5458,-83.319441
984,42.5458,-83.319441
985,42.5458,-83.319441
986,42.5458,-83.319441
987,42.5458,-83.319441
988,42.5458,-83.319441
989,42.5458,-83.319441
990,42.5458,-83.319441
991,42.5458,-83.319441
992,42.5458,-83.319441
993,42.5458,-83.319441
994,42.5458,-83.319441
995,42.5458,-83.319441
996,42.5458,-83.319441
997,42.5458,-83.319441
998,42.5458,-83.319441
999,42.5458,-83.319441
1000,42.5458,-83.319441
1001,42.5458,-83.319441
1002,42.5458,-83.319441
1003,42.5458,-83.319441
1004,42.5458,-83.319441
1005,42.5458,-83.319441
1006,42.5458,-83.319441
1007,42.5458,-83.319441
1008,42.5458,-83.319441
1009,42.5458,-83.319441
1010,42.5458,-83.319441
1011,42.5458,-83.319441
1012,42.5458,-83.319441
1013,42.5458,-83.319441
1014,42.5458,-83.319441
1015,42.5458,-83.319441
1016,42.5458,-83.319441
1017,42.5458,-83.319441
1018,42.5458,-83.319441
1019,42.5458,-83.319441
1020,42.5458,-83.319441
1021,42.5458,-83.319441
1022,42.5458,-83.319441
1023,42.5458,-83.319441
1024,42.5458,-83.319441
1025,42.5458,-83.319441
1026,42.54573,-83.319434
1027,42.54573,-83.319434
1028,42.54573,-83.319434
1029,42.54573,-83.319434
1030,42.54573,-83.319434
1031,42.54573,-83.319434
1032,42.54573,-83.319434
1033,42.54573,-83.319434
1034,42.54573,-83.319434
1035,42.54573,-83.319434
1036,42.54573,-83.319434
1037,42.54573,-83.319434
1038,42.54573,-83.319434
1039,42.54573,-83.319434
1040,42.54573,-83.319434
1041,42.54573,-83.319434
1042,42.54573,-83.319434
1043,42.54573,-83.319434
1044,42.54573,-83.319434
1045,42.54573,-83.319434
1046,42.54571,-83.319432
1047,42.54571,-83.319432
1048,42.54571,-83.319432
1049,42.54571,-83.319432
1050,42.54571,-83.319432
1051,42.54571,-83.319432
1052,42.54571,-83.319432
1053,42.54571,-83.319432
1054,42.54571,-83.319432
1055,42.54571,-83.319432
1056,42.54571,-83.319432
1057,42.54571,-83.319432
1058,42.54571,-83.319432
1059,42.54571,-83.319432
1060,42.54571,-83.319432
1061,42.54571,-83.319432
1062,42.54571,-83.319432
1063,42.54571,-83.319432
1064,42.54571,-83.319432
1065,42.54571,-83.319432
1066,42.54571,-83.319432
1067,42.54571,-83.319432
