,ADSB_VEHICLE.lat,ADSB_VEHICLE.lon
183,42.2203,-83.334041
184,42.21953,-83.334936
185,42.21949,-83.334872
186,42.2082,-83.334005
187,42.22215,-83.335473
188,42.21554,-83.335001
189,42.23022,-83.334505
190,42.21983,-83.335065
191,42.57418,-83.356928
192,42.36296,-83.317255
193,42.22964,-83.334451
194,42.38406,-82.282779
195,42.22841,-83.333014
196,42.22116,-83.335359
197,42.22067,-83.335391
198,42.21262,-83.336357
199,42.27969,-83.329004
200,42.27969,-83.329004
201,42.21462,-83.335226
202,42.2155,-83.334947
203,42.2203,-83.334041
204,42.21953,-83.334936
205,42.21949,-83.334872
206,42.21949,-83.334872
207,42.21949,-83.334872
208,42.21949,-83.334872
209,42.21949,-83.334872
210,42.21949,-83.334872
211,42.21949,-83.334872
212,42.21949,-83.334872
213,42.21949,-83.334872
214,42.21949,-83.334872
215,42.21949,-83.334872
216,42.21949,-83.334872
217,42.21949,-83.334872
218,42.21949,-83.334872
219,42.21949,-83.334872
220,42.21949,-83.334872
221,42.21949,-83.334872
222,42.21949,-83.334872
223,42.21949,-83.334872
224,42.21949,-83.334872
225,42.21949,-83.334872
226,42.21949,-83.334872
227,42.21949,-83.334872
228,42.21949,-83.334872
229,42.21949,-83.334872
230,42.21949,-83.334872
231,42.21949,-83.334872
232,42.21949,-83.334872
233,42.21949,-83.334872
234,42.21949,-83.334872
235,42.21949,-83.334872
236,42.21949,-83.334872
237,42.21949,-83.334872
238,42.21949,-83.334872
239,42.21949,-83.334872
240,42.21949,-83.334872
241,42.21949,-83.334872
242,42.21949,-83.334872
243,42.21949,-83.334872
244,42.21949,-83.334872
245,42.21949,-83.334872
246,42.21949,-83.334872
247,42.21949,-83.334872
248,42.21949,-83.334872
249,42.21949,-83.334872
250,42.21949,-83.334872
251,42.21949,-83.334872
252,42.21949,-83.334872
253,42.21949,-83.334872
254,42.21949,-83.334872
255,42.21949,-83.334872
256,42.21949,-83.334872
257,42.21949,-83.334872
258,42.21949,-83.334872
259,42.21949,-83.334872
260,42.21949,-83.334872
261,42.21949,-83.334872
262,42.21949,-83.334872
263,42.21949,-83.334872
264,42.21949,-83.334872
265,42.21949,-83.334872
266,42.21949,-83.334872
267,42.21949,-83.334872
268,42.21949,-83.334872
269,42.21949,-83.334872
270,42.21949,-83.334872
271,42.21949,-83.334872
272,42.21949,-83.334872
273,42.21949,-83.334872
274,42.21949,-83.334872
275,42.21949,-83.334872
276,42.21949,-83.334872
277,42.21949,-83.334872
278,42.21949,-83.334872
279,42.21949,-83.334872
280,42.21949,-83.334872
281,42.21949,-83.334872
282,42.21949,-83.334872
283,42.21949,-83.334872
284,42.21949,-83.334872
285,42.21949,-83.334872
286,42.21949,-83.334872
287,42.21949,-83.334872
288,42.21949,-83.334872
289,42.21949,-83.334872
290,42.21949,-83.334872
291,42.21949,-83.334872
292,42.21949,-83.334872
293,42.21949,-83.334872
294,42.21949,-83.334872
295,42.21949,-83.334872
296,42.21949,-83.334872
297,42.21949,-83.334872
298,42.21949,-83.334872
299,42.21949,-83.334872
300,42.21949,-83.334872
301,42.21949,-83.334872
302,42.21949,-83.334872
303,42.21949,-83.334872
304,42.21949,-83.334872
305,42.21949,-83.334872
306,42.21949,-83.334872
307,42.21949,-83.334872
308,42.21949,-83.334872
309,42.21949,-83.334872
310,42.21949,-83.334872
311,42.21949,-83.334872
312,42.21949,-83.334872
313,42.21949,-83.334872
314,42.21949,-83.334872
315,42.21949,-83.334872
316,42.21949,-83.334872
317,42.21949,-83.334872
318,42.21949,-83.334872
319,42.21949,-83.334872
320,42.21949,-83.334872
321,42.21949,-83.334872
322,42.21949,-83.334872
323,42.21949,-83.334872
324,42.21949,-83.334872
325,42.21949,-83.334872
326,42.21949,-83.334872
327,42.21949,-83.334872
328,42.21949,-83.334872
329,42.21949,-83.334872
330,42.21949,-83.334872
331,42.21949,-83.334872
332,42.21949,-83.334872
333,42.21949,-83.334872
334,42.21949,-83.334872
335,42.21949,-83.334872
336,42.21949,-83.334872
337,42.21949,-83.334872
338,42.21949,-83.334872
339,42.21949,-83.334872
340,42.21949,-83.334872
341,42.21949,-83.334872
342,42.21949,-83.334872
343,42.21949,-83.334872
344,42.21949,-83.334872
345,42.21949,-83.334872
346,42.21949,-83.334872
347,42.21949,-83.334872
348,42.21949,-83.334872
349,42.21949,-83.334872
350,42.21949,-83.334872
351,42.21949,-83.334872
352,42.21949,-83.334872
353,42.21949,-83.334872
354,42.21949,-83.334872
355,42.21949,-83.334872
356,42.21949,-83.334872
357,42.21949,-83.334872
358,42.21949,-83.334872
359,42.21949,-83.334872
360,42.21949,-83.334872
361,42.21949,-83.334872
362,42.21949,-83.334872
363,42.21949,-83.334872
364,42.21949,-83.334872
365,42.21949,-83.334872
366,42.21949,-83.334872
367,42.21949,-83.334872
368,42.21949,-83.334872
369,42.21949,-83.334872
370,42.21949,-83.334872
371,42.21949,-83.334872
372,42.21949,-83.334872
373,42.21949,-83.334872
374,42.21949,-83.334872
375,42.21949,-83.334872
376,42.21949,-83.334872
377,42.21949,-83.334872
378,42.21949,-83.334872
379,42.21949,-83.334872
380,42.21949,-83.334872
381,42.21949,-83.334872
382,42.21949,-83.334872
383,42.21949,-83.334872
384,42.21949,-83.334872
385,42.21949,-83.334872
386,42.21949,-83.334872
387,42.21949,-83.334872
388,42.21949,-83.334872
389,42.21949,-83.334872
390,42.21949,-83.334872
391,42.21949,-83.334872
392,42.21949,-83.334872
393,42.21949,-83.334872
394,42.21949,-83.334872
395,42.21949,-83.334872
396,42.21949,-83.334872
397,42.21949,-83.334872
398,42.21949,-83.334872
399,42.21949,-83.334872
400,42.21949,-83.334872
401,42.21949,-83.334872
402,42.21949,-83.334872
403,42.21949,-83.334872
404,42.21949,-83.334872
405,42.21949,-83.334872
406,42.21949,-83.334872
407,42.21949,-83.334872
408,42.21949,-83.334872
409,42.21949,-83.334872
410,42.21949,-83.334872
411,42.21949,-83.334872
412,42.21949,-83.334872
413,42.21949,-83.334872
414,42.21949,-83.334872
415,42.21949,-83.334872
416,42.21949,-83.334872
417,42.21949,-83.334872
418,42.21949,-83.334872
419,42.21949,-83.334872
420,42.21949,-83.334872
421,42.21949,-83.334872
422,42.21949,-83.334872
423,42.21949,-83.334872
424,42.21949,-83.334872
425,42.21949,-83.334872
426,42.21949,-83.334872
427,42.21949,-83.334872
428,42.21949,-83.334872
429,42.21949,-83.334872
430,42.21949,-83.334872
431,42.21949,-83.334872
432,42.21949,-83.334872
433,42.21949,-83.334872
434,42.21949,-83.334872
435,42.21949,-83.334872
436,42.21949,-83.334872
437,42.21949,-83.334872
438,42.21949,-83.334872
439,42.21949,-83.334872
440,42.21949,-83.334872
441,42.21949,-83.334872
442,42.21949,-83.334872
443,42.21949,-83.334872
444,42.21949,-83.334872
445,42.21949,-83.334872
446,42.21949,-83.334872
447,42.22387,-83.33656
448,42.67649,-83.343071
449,42.67649,-83.343071
450,42.22215,-83.335473
451,42.2206,-83.335445
452,42.21554,-83.335001
453,42.21983,-83.335065
454,42.35975,-83.317867
455,42.2211,-83.336945
456,42.22966,-83.334449
457,42.21949,-83.334872
458,42.22841,-83.333014
459,42.22116,-83.335359
460,42.22466,-83.336702
461,42.22086,-83.335378
462,42.2291,-83.334895
463,42.22374,-83.335331
464,42.27497,-83.329353
465,42.58099,-83.346437
466,42.2155,-83.334945
467,42.2203,-83.334041
468,42.2017,-83.336215
469,42.2017,-83.336215
470,42.2017,-83.336215
471,42.2017,-83.336215
472,42.2017,-83.336215
473,42.2017,-83.336215
474,42.2017,-83.336215
475,42.2017,-83.336215
