timestamp,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1655307632.10175610,247795748,42.5448507,-83.1934611,357.04998779296875,120.01820373535156,120.5082015991211
1655307632.14278221,247836774,42.544847499999996,-83.19345799999999,357.04998779296875,120.01152038574219,120.50151824951172
1655307632.16003704,247854029,42.544846199999995,-83.1934567,357.03997802734375,120.0087661743164,120.49876403808594
1655307632.18231821,247876310,42.544844399999995,-83.193455,357.03997802734375,120.00591278076172,120.49591064453125
1655307632.22473121,247918723,42.5448411,-83.19345179999999,357.0299987792969,119.99983978271484,120.48983764648438
1655307632.26178312,247955775,42.5448382,-83.193449,357.0299987792969,119.99434661865234,120.48434448242188
1655307632.26403809,247958030,42.544838,-83.1934488,357.0299987792969,119.9942398071289,120.48423767089844
1655307632.30569220,247999684,42.5448348,-83.1934457,357.0199890136719,119.98909759521484,120.47909545898438
1655307632.34679699,248040789,42.544831599999995,-83.1934426,357.0199890136719,119.98419952392578,120.47419738769531
1655307632.36429501,248058287,42.5448302,-83.19344129999999,357.0199890136719,119.98226928710938,120.4722671508789
1655307632.38668919,248080681,42.5448284,-83.19343959999999,357.0199890136719,119.98055267333984,120.47055053710938
1655307632.42854309,248122535,42.5448252,-83.1934364,357.0099792480469,119.97537231445312,120.46537017822266
1655307632.46602511,248160017,42.5448223,-83.19343359999999,357.0099792480469,119.97039794921875,120.46039581298828
1655307632.46832609,248162318,42.5448221,-83.19343339999999,357.0099792480469,119.97046661376953,120.46046447753906
1655307632.51025605,248204248,42.5448188,-83.1934302,357.0,119.96580505371094,120.45580291748047
1655307632.55468607,248248678,42.5448154,-83.19342689999999,356.989990234375,119.95771026611328,120.44770812988281
1655307632.56958508,248263577,42.5448143,-83.1934258,356.989990234375,119.95637512207031,120.44637298583984
1655307632.59889007,248292882,42.544812,-83.1934236,356.989990234375,119.95242309570312,120.44242095947266
1655307632.63867807,248332670,42.5448089,-83.1934206,356.97998046875,119.94519805908203,120.43519592285156
1655307632.67130017,248365292,42.5448065,-83.1934182,356.97998046875,119.94015502929688,120.4301528930664
1655307632.67855120,248372543,42.5448058,-83.19341759999999,356.9700012207031,119.93853759765625,120.42853546142578
1655307632.72028804,248414280,42.5448026,-83.1934145,356.9700012207031,119.9306411743164,120.42063903808594
1655307632.76179409,248455786,42.544799399999995,-83.1934114,356.9599914550781,119.92208862304688,120.4120864868164
1655307632.77390313,248467895,42.5447985,-83.1934105,356.9599914550781,119.91999816894531,120.40999603271484
1655307632.80367112,248497663,42.5447962,-83.1934082,356.9499816894531,119.91429901123047,120.404296875
1655307632.84404111,248538033,42.5447931,-83.1934052,356.94000244140625,119.9058609008789,120.39585876464844
1655307632.87628007,248570272,42.5447905,-83.1934027,356.94000244140625,119.90029907226562,120.39029693603516
1655307632.88406110,248578053,42.54479,-83.1934022,356.92999267578125,119.8987045288086,120.38870239257812
1655307632.92770815,248621700,42.544786599999995,-83.1933988,356.92999267578125,119.8914566040039,120.38145446777344
1655307632.96773100,248661723,42.5447835,-83.19339579999999,356.91998291015625,119.88444519042969,120.37444305419922
1655307632.98079515,248674787,42.5447826,-83.1933949,356.91998291015625,119.88298797607422,120.37298583984375
1655307633.01028919,248704281,42.5447803,-83.19339269999999,356.9100036621094,119.87887573242188,120.3688735961914
1655307633.05032015,248744312,42.5447773,-83.1933896,356.9100036621094,119.87335205078125,120.36334991455078
1655307633.08265209,248776644,42.5447748,-83.1933871,356.9100036621094,119.87033081054688,120.3603286743164
1655307633.09078217,248784774,42.5447742,-83.1933866,356.8999938964844,119.86933135986328,120.35932922363281
1655307633.13257408,248826566,42.544770899999996,-83.1933834,356.8999938964844,119.86559295654297,120.3555908203125
1655307633.17261505,248866607,42.5447679,-83.1933804,356.8999938964844,119.86241149902344,120.35240936279297
1655307633.18507504,248879067,42.5447669,-83.1933794,356.8999938964844,119.86206817626953,120.35206604003906
1655307633.21557021,248909562,42.544764699999995,-83.1933772,356.8999938964844,119.8606948852539,120.35069274902344
1655307633.25563121,248949623,42.544761699999995,-83.1933742,356.8899841308594,119.85843658447266,120.34843444824219
1655307633.28730106,248981293,42.5447592,-83.1933717,356.8899841308594,119.8580093383789,120.34800720214844
1655307633.29565907,248989651,42.5447585,-83.1933711,356.8899841308594,119.85767364501953,120.34767150878906
1655307633.33807707,249032069,42.5447554,-83.19336799999999,356.8899841308594,119.85647583007812,120.34647369384766
1655307633.37831712,249072309,42.5447524,-83.193365,356.8899841308594,119.85467529296875,120.34467315673828
1655307633.39003801,249084030,42.544751399999996,-83.193364,356.8899841308594,119.85468292236328,120.34468078613281
1655307633.42504215,249119034,42.5447488,-83.1933614,356.8899841308594,119.85456848144531,120.34456634521484
1655307633.46531916,249159311,42.5447457,-83.1933584,356.8899841308594,119.85074615478516,120.34074401855469
1655307633.49264908,249186641,42.5447437,-83.1933564,356.8800048828125,119.84794616699219,120.33794403076172
1655307633.50556302,249199555,42.5447427,-83.1933554,356.8800048828125,119.8473892211914,120.33738708496094
1655307633.54879999,249242792,42.5447395,-83.19335219999999,356.8800048828125,119.8429946899414,120.33299255371094
1655307633.58860707,249282599,42.5447364,-83.1933492,356.8699951171875,119.83707427978516,120.32707214355469
1655307633.59867120,249292663,42.5447357,-83.1933485,356.8699951171875,119.83545684814453,120.32545471191406
1655307633.63128114,249325273,42.5447333,-83.1933461,356.8699951171875,119.83039855957031,120.32039642333984
1655307633.67144012,249365432,42.5447303,-83.19334309999999,356.8599853515625,119.8226089477539,120.31260681152344
1655307633.70103121,249395023,42.544728,-83.1933409,356.8500061035156,119.81641387939453,120.30641174316406
1655307633.71152806,249405520,42.5447273,-83.1933401,356.8500061035156,119.81436157226562,120.30435943603516
1655307633.75505304,249449045,42.5447239,-83.1933368,356.8399963378906,119.805419921875,120.29541778564453
1655307633.79531503,249489307,42.5447209,-83.19333379999999,356.8299865722656,119.79755401611328,120.28755187988281
1655307633.80528903,249499281,42.5447202,-83.19333309999999,356.8299865722656,119.7957992553711,120.28579711914062
1655307633.83780813,249531800,42.5447178,-83.1933306,356.8299865722656,119.7906265258789,120.28062438964844
1655307633.87777901,249571771,42.5447148,-83.1933277,356.8199768066406,119.78524780273438,120.2752456665039
1655307633.90785813,249601850,42.5447126,-83.19332539999999,356.8199768066406,119.78216552734375,120.27216339111328
1655307633.91772103,249611713,42.544711799999995,-83.19332469999999,356.8199768066406,119.78130340576172,120.27130126953125
1655307633.96128511,249655277,42.5447086,-83.1933214,356.80999755859375,119.778076171875,120.26807403564453
1655307634.00130415,249695296,42.5447056,-83.1933184,356.80999755859375,119.77644348144531,120.26644134521484
1655307634.01128316,249705275,42.5447049,-83.1933177,356.80999755859375,119.77633666992188,120.2663345336914
1655307634.04305911,249737051,42.5447025,-83.1933153,356.80999755859375,119.77678680419922,120.26678466796875
1655307634.08290815,249776900,42.5446996,-83.1933124,356.80999755859375,119.77571868896484,120.26571655273438
1655307634.11304998,249807042,42.5446974,-83.19331009999999,356.80999755859375,119.77627563476562,120.26627349853516
1655307634.12301111,249817003,42.544696599999995,-83.19330939999999,356.80999755859375,119.7766342163086,120.26663208007812
1655307634.16603899,249860031,42.5446933,-83.1933061,356.8199768066406,119.7802963256836,120.27029418945312
1655307634.20590711,249899899,42.5446904,-83.1933031,356.8199768066406,119.78498840332031,120.27498626708984
1655307634.21601510,249910007,42.5446896,-83.1933023,356.8199768066406,119.78639221191406,120.2763900756836
1655307634.24868107,249942673,42.5446872,-83.1932999,356.8299865722656,119.7918472290039,120.28184509277344
1655307634.28872609,249982718,42.5446843,-83.19329689999999,356.8299865722656,119.79825592041016,120.28825378417969
1655307634.31807303,250012065,42.544682099999996,-83.1932946,356.8399963378906,119.80408477783203,120.29408264160156
1655307634.32906508,250023057,42.5446812,-83.19329379999999,356.8399963378906,119.80642700195312,120.29642486572266
1655307634.37173104,250065723,42.5446781,-83.1932906,356.8500061035156,119.81561279296875,120.30561065673828
1655307634.41178322,250105775,42.5446752,-83.19328759999999,356.8599853515625,119.8253173828125,120.31531524658203
1655307634.42184711,250115839,42.5446744,-83.19328689999999,356.8599853515625,119.82799530029297,120.3179931640625
1655307634.45384502,250147837,42.5446721,-83.1932846,356.8699951171875,119.83710479736328,120.32710266113281
1655307634.49328613,250187278,42.5446692,-83.1932817,356.8800048828125,119.84700012207031,120.33699798583984
1655307634.52370000,250217692,42.544667,-83.1932794,356.8899841308594,119.85533142089844,120.34532928466797
